Denominazione,Tipologia,Regione,Provincia,Comune,Esito,Data Aggiornamento,noindex,Link
ISTITUTO COMPRENSIVO - I.C. QUISTELLO,Istituti di Istruzione Statale di Ogni Ordine e Grado,Lombardia,Mantova,Quistello,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/MNIC821001/4#new_tab
Comune di Roverbella,Comuni e loro Consorzi e Associazioni,Lombardia,Mantova,Roverbella,positivo,17/03/2019 02:05:14,x,http://www.comune.roverbella.mn.it/servizi/Menu/menu_redirect.aspx?url=https%3a%2f%2fwww.comuneweb.it%2fegov%2fRoverbella%2fammTrasparente.html&ID=22580&idCat=22580&TipoElemento=categoria
ISTITUTO COMPRENSIVO - I.C. SERMIDE,Istituti di Istruzione Statale di Ogni Ordine e Grado,Lombardia,Mantova,Sermide,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/MNIC82200R/4#new_tab
ISTITUTO COMPRENSIVO - I.C. DOSOLO POMPONESCO VIADANA,Istituti di Istruzione Statale di Ogni Ordine e Grado,Lombardia,Mantova,Viadana,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/MNIC83000Q/3
Comune di Arese,Comuni e loro Consorzi e Associazioni,Lombardia,Milano,Arese,positivo,17/03/2019 02:05:14,x,http://www.comune.arese.mi.it/pubblicazioni/Informazioni_A/Informazioni_A_Elenco.asp?ID_M=310&ID_MacroMenu=1
ISTITUTO COMPRENSIVO - FALCONE E BORSELLINO-CASTANO P.,Istituti di Istruzione Statale di Ogni Ordine e Grado,Lombardia,Milano,Castano Primo,positivo,17/03/2019 02:05:14,x,https://www.icscastano.gov.it/trasparenza/amministrazione-trasparente
ISTITUTO COMPRENSIVO - GARIBALDI - CINISELLO B.,Istituti di Istruzione Statale di Ogni Ordine e Grado,Lombardia,Milano,Cinisello Balsamo,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/MIIC8AR001/3
ISTITUTO COMPRENSIVO - I.C.'BALILLA PAGANELLI' CINISEL,Istituti di Istruzione Statale di Ogni Ordine e Grado,Lombardia,Milano,Cinisello Balsamo,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/MIIC82500Q/3
Comune di Cornaredo,Comuni e loro Consorzi e Associazioni,Lombardia,Milano,Cornaredo,positivo,17/03/2019 02:05:14,x,http://www.comune.cornaredo.mi.it/pubblicazioni/Informazioni_A/Informazioni_A_Elenco.asp?ID_M=505
Comune di Dairago,Comuni e loro Consorzi e Associazioni,Lombardia,Milano,Dairago,positivo,17/03/2019 02:05:14,x,http://www.comuneweb.it/egov/Dairago/ammTrasparente.html
ISTITUTO COMPRENSIVO - ALDA FAIPO,Istituti di Istruzione Statale di Ogni Ordine e Grado,Lombardia,Milano,Gessate,positivo,17/03/2019 02:05:14,x,http://www.icgessate.gov.it/web/?page_id=241
LICEO SCIENTIFICO - D. BRAMANTE,Istituti di Istruzione Statale di Ogni Ordine e Grado,Lombardia,Milano,Magenta,positivo,17/03/2019 02:05:14,x,https://liceobramante.edu.it/amministrazione-trasparente/
Agenzia Mobilita Ambiente e Territorio,Gestori di Pubblici Servizi,Lombardia,Milano,Milano,positivo,17/03/2019 02:05:14,x,https://www.amat-mi.it/amministrazione-trasparente
Collegio dei Periti Industriali e dei Periti Industriali Laureati della Provincia di Milano e Lodi,"Federazioni Nazionali, Ordini, Collegi e Consigli Professionali",Lombardia,Milano,Milano,positivo,17/03/2019 02:05:14,x,http://peritiindustriali.mi.it/collegio-2/collegio/amministrazione-trasparente/
ISTITUTO COMPRENSIVO - TOMMASO GROSSI,Istituti di Istruzione Statale di Ogni Ordine e Grado,Lombardia,Milano,Milano,positivo,17/03/2019 02:05:14,x,http://www.icgrossimilano.it/Amministrazione%20Trasparente/AmministrazTraspar.htm
Istituto Comprensivo De Andreis,Istituti di Istruzione Statale di Ogni Ordine e Grado,Lombardia,Milano,Milano,positivo,17/03/2019 02:05:14,x,https://www.icdeandreismilano.edu.it/sito/amministrazione-trasparente/
Ordine Degli Ingegneri della Provincia di Milano,"Federazioni Nazionali, Ordini, Collegi e Consigli Professionali",Lombardia,Milano,Milano,positivo,17/03/2019 02:05:14,x,https://www.ordineingegneri.milano.it/amministrazione-trasparente
Ordine degli Psicologi della Regione Lombardia,"Federazioni Nazionali, Ordini, Collegi e Consigli Professionali",Lombardia,Milano,Milano,positivo,17/03/2019 02:05:14,x,https://www.opl.it/amministrazione-trasparente.php
Ordine dei Dottori Commercialisti e degli Esperti Contabili di Milano,"Federazioni Nazionali, Ordini, Collegi e Consigli Professionali",Lombardia,Milano,Milano,positivo,17/03/2019 02:05:14,x,https://www.odcec.mi.it/Ordine/Presentazione_Ordine/La_struttura.aspx
Unione Regionale Delle Camere di Commercio Industria Artigianato Agricoltura della Lombardia,"Camere di Commercio, Industria, Artigianato e Agricoltura e loro Unioni Regionali",Lombardia,Milano,Milano,positivo,17/03/2019 02:05:14,x,http://www.unioncamerelombardia.it/?/menu-di-sinistra/Amministrazione-trasparente
Istituto Comprensivo Statale Giovanni Testori,Istituti di Istruzione Statale di Ogni Ordine e Grado,Lombardia,Milano,Novate Milanese,positivo,17/03/2019 02:05:14,x,https://ictestori.edu.it/amministrazione-trasparente
ISTRUZIONE SECONDARIA SUPERIORE - CARLO EMILIO GADDA,Istituti di Istruzione Statale di Ogni Ordine e Grado,Lombardia,Milano,Paderno Dugnano,positivo,17/03/2019 02:05:14,x,https://www.iisgadda.gov.it/?q=trasparenza/amministrazione-trasparente
Istituto Comprensivo Monte Amiata,Istituti di Istruzione Statale di Ogni Ordine e Grado,Lombardia,Milano,Rozzano,positivo,17/03/2019 02:05:14,x,https://www.icmonteamiata.gov.it/trasparenza/amministrazione-trasparente
Comune di Agrate Brianza,Comuni e loro Consorzi e Associazioni,Lombardia,Monza-Brianza,Agrate Brianza,positivo,17/03/2019 02:05:14,x,http://www.comune.agratebrianza.mb.it/Pubblicazioni/Espandi_MacroMenu.asp?ID_MacroMenu=3
Comune di Limbiate,Comuni e loro Consorzi e Associazioni,Lombardia,Monza-Brianza,Limbiate,positivo,17/03/2019 02:05:14,x,http://trasparenza.comune.limbiate.mb.it/pubblicazioni/Informazioni_A/Informazioni_A_Elenco.asp?ID_M=505
ISTITUTO COMPRENSIVO - IC ALBIATE E TRIUGGIO,Istituti di Istruzione Statale di Ogni Ordine e Grado,Lombardia,Monza-Brianza,Triuggio,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/MIIC829003/4/0/0/show
Collegio dei Periti Industriali e dei Periti Industriali Laureati della Provincia di Pavia,"Federazioni Nazionali, Ordini, Collegi e Consigli Professionali",Lombardia,Pavia,Pavia,positivo,17/03/2019 02:05:14,x,http://www.collegioperitiindustrialipavia.it/amministrazione-trasparente.html
Istituto Comprensivo di Via Acerbi,Istituti di Istruzione Statale di Ogni Ordine e Grado,Lombardia,Pavia,Pavia,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/PVIC82500D/4/0/0/show
Ordine dei Medici Chirurghi e degli Odontoiatri della Provincia di Pavia,"Federazioni Nazionali, Ordini, Collegi e Consigli Professionali",Lombardia,Pavia,Pavia,positivo,17/03/2019 02:05:14,x,http://www.ordinemedicipavia.it/index.php/trasparenza
Comunita' Montana della Valchiavenna,Comunita` Montane e loro Consorzi e Associazioni,Lombardia,Sondrio,Chiavenna,positivo,17/03/2019 02:05:14,x,http://www.halleyweb.com/cmchiavenna/zf/index.php/trasparenza/index/index
Azienda di Promozione e Sviluppo Turistico di Livigno,Agenzie ed Enti per il Turismo,Lombardia,Sondrio,Livigno,positivo,17/03/2019 02:05:14,x,https://www.livigno.eu/amministrazione-trasparente
Comune di Menarola,Comuni e loro Consorzi e Associazioni,Lombardia,Sondrio,Menarola,positivo,17/03/2019 02:05:14,x,http://www.halleyweb.com/cmchiavenna/zf/index.php/trasparenza/index/index
Agenzia di Tutela della Salute della Montagna,Aziende Sanitarie Locali,Lombardia,Sondrio,Sondrio,positivo,17/03/2019 02:05:14,x,http://www.ats-montagna.it/trasparenza/
Comune di Arsago Seprio,Comuni e loro Consorzi e Associazioni,Lombardia,Varese,Arsago Seprio,positivo,17/03/2019 02:05:14,x,https://www.comuneweb.it/egov/ArsagoSeprio/ammTrasparente.html
Azienda Socio Sanitaria Territoriale della Valle Olona,"Aziende Ospedaliere, Aziende Ospedaliere Universitarie, Policlinici e Istituti di Ricovero e Cura a Carattere Scientifico Pubblici",Lombardia,Varese,Busto Arsizio,positivo,17/03/2019 02:05:14,x,http://www.asst-valleolona.it/aziendaospedaliera/trasparenza-valutazione-e-merito
Comune di Cardano Al Campo,Comuni e loro Consorzi e Associazioni,Lombardia,Varese,Cardano al Campo,positivo,17/03/2019 02:05:14,x,https://www.comune.cardanoalcampo.va.it/pubblicazioni/Informazioni_A/Informazioni_A_Elenco.asp?ID_M=756&ID_MacroMenu=10
ISTITUTO COMPRENSIVO - GALLARATE 'DE AMICIS',Istituti di Istruzione Statale di Ogni Ordine e Grado,Lombardia,Varese,Gallarate,positivo,17/03/2019 02:05:14,x,http://www.icedeamicis.gov.it/trasparenza/amministrazione-trasparente
Ente Regionale per L'Abitazione Pubblica Delle Marche,Altri Enti Locali,Marche,Ancona,Ancona,positivo,17/03/2019 02:05:14,x,http://www.erapmarche.it/amministrazione-trasparente/
ISTITUTO COMPRENSIVO - ARCEVIA,Istituti di Istruzione Statale di Ogni Ordine e Grado,Marche,Ancona,Arcevia,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/ANIC80800Q/4
Comune di Camerano,Comuni e loro Consorzi e Associazioni,Marche,Ancona,Camerano,positivo,17/03/2019 02:05:14,x,http://www.comune.camerano.an.it/po/il-comune-informa.php?x=16c33b6d451672f06f49159c7c41a6ab
Comune di Castelfidardo,Comuni e loro Consorzi e Associazioni,Marche,Ancona,Castelfidardo,positivo,17/03/2019 02:05:14,x,http://www.comune.castelfidardo.an.it/cittadino/index.php?id=54 
ISTITUTO COMPRENSIVO - I.C. CHIARAVALLE MONTESSORIANO,Istituti di Istruzione Statale di Ogni Ordine e Grado,Marche,Ancona,Chiaravalle,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/ANIC85200T/4#new_tab
ISTITUTO COMPRENSIVO - FILOTTRANO 'BELTRAMI',Istituti di Istruzione Statale di Ogni Ordine e Grado,Marche,Ancona,Filottrano,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/ANIC80700X/4
ISTITUTO COMPRENSIVO - JESI 'CARLO URBANI',Istituti di Istruzione Statale di Ogni Ordine e Grado,Marche,Ancona,Jesi,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/ANIC82900R/4
ISTITUTO COMPRENSIVO - MOIE 'CARLO URBANI',Istituti di Istruzione Statale di Ogni Ordine e Grado,Marche,Ancona,Maiolati Spontini,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/ANIC83700Q/7
Unione Dei Comuni Belvedereo Morro D'Alba San Marcello,Unioni di Comuni e loro Consorzi e Associazioni,Marche,Ancona,San Marcello,positivo,17/03/2019 02:05:14,x,https://www.halleyweb.com/ucbelvedereostr/po/po_disegna_menu_servizi.php?livello=2&x=1490bf74e89773d0ff1bb0e25d1d853f
ISTITUTO COMPRENSIVO - SENIGALLIA CENTRO - FAGNANI,Istituti di Istruzione Statale di Ogni Ordine e Grado,Marche,Ancona,Senigallia,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/ANIC84700A/4
Mario Giacomelli,Istituti di Istruzione Statale di Ogni Ordine e Grado,Marche,Ancona,Senigallia,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/ANIC848006/8
ISTITUTO COMPRENSIVO - ISC ASCOLI CENTRO.D'AZEGLIO,Istituti di Istruzione Statale di Ogni Ordine e Grado,Marche,Ascoli-Piceno,Ascoli Piceno,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/APIC83000G/7/0/0/show
ISTITUTO COMPRENSIVO - ISC BORGO SOLESTA'-CANTALAMESSA,Istituti di Istruzione Statale di Ogni Ordine e Grado,Marche,Ascoli-Piceno,Ascoli Piceno,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/APIC83100B/4
Ordine degli Ingegneri della Provincia di Ascoli Piceno,"Federazioni Nazionali, Ordini, Collegi e Consigli Professionali",Marche,Ascoli-Piceno,Ascoli Piceno,positivo,17/03/2019 02:05:14,x,http://trasparenza.ordineingap.it/
Istituto Scolastico Comprensivo Statale 'Folignano-Maltignano',Istituti di Istruzione Statale di Ogni Ordine e Grado,Marche,Ascoli-Piceno,Folignano,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/APIC817005/4#new_tab
ISTITUTO COMPRENSIVO - GROTTAMMARE ISC 'LEOPARDI G.',Istituti di Istruzione Statale di Ogni Ordine e Grado,Marche,Ascoli-Piceno,Grottammare,positivo,17/03/2019 02:05:14,x,https://accademiafidia.istruzioneweb.it/
ISTITUTO SCOLASTICO COMPRENSIVO CUPRA MARITTIMA E RIPATRANSONE,Istituti di Istruzione Statale di Ogni Ordine e Grado,Marche,Ascoli-Piceno,Ripatransone,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/APIC804003/4#new_tab
Comune di San Benedetto del Tronto,Comuni e loro Consorzi e Associazioni,Marche,Ascoli-Piceno,San Benedetto del Tronto,positivo,17/03/2019 02:05:14,x,https://www.comunesbt.it//Amministrazione-trasparente
ISTITUTO COMPRENSIVO - SPINETOLI ISC,Istituti di Istruzione Statale di Ogni Ordine e Grado,Marche,Ascoli-Piceno,Spinetoli,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/APIC80600P/7#new_tab
ISTITUTO COMPRENSIVO - FALERONE ISC,Istituti di Istruzione Statale di Ogni Ordine e Grado,Marche,Fermo,Falerone,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/APIC825004/6
ISTITUTO COMPRENSIVO - IC LUCA DELLA ROBBIA,Istituti di Istruzione Statale di Ogni Ordine e Grado,Marche,Macerata,Appignano,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/MCIC825007/4/0/0/show
ISTITUTO COMPRENSIVO - ENRICO MESTICA CINGOLI,Istituti di Istruzione Statale di Ogni Ordine e Grado,Marche,Macerata,Cingoli,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/MCIC811009/4
ISTITUTO PROFESSIONALE DI STATO PER L'ENOGASTRONOMIA E L'OSPITALITA' ALBERGHIERA  G VARNELLI,Istituti di Istruzione Statale di Ogni Ordine e Grado,Marche,Macerata,Cingoli,positivo,17/03/2019 02:05:14,x,http://ipseoavarnelli.gov.it/amministrazione_trasparente/
ISTITUTO COMPRENSIVO - VIA TACITO,Istituti di Istruzione Statale di Ogni Ordine e Grado,Marche,Macerata,Civitanova Marche,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/MCIC83500T/4
ISTITUTO COMPRENSIVO - VIA UGO BASSI,Istituti di Istruzione Statale di Ogni Ordine e Grado,Marche,Macerata,Civitanova Marche,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/MCIC83600N/7
ISTITUTO COMPRENSIVO - 'VINCENZO MONTI' POLLENZA,Istituti di Istruzione Statale di Ogni Ordine e Grado,Marche,Macerata,Pollenza,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/MCIC817008/7
ISTITUTO COMPRENSIVO - IC 'G. LUCATELLI' TOLENTINO,Istituti di Istruzione Statale di Ogni Ordine e Grado,Marche,Macerata,Tolentino,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/MCIC81500L/7#new_tab
DIREZIONE DIDATTICA - CD FANO S.ORSO,Istituti di Istruzione Statale di Ogni Ordine e Grado,Marche,Pesaro-Urbino,Fano,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/PSEE03900Q/4/0/0/show
LICEO SCIENTIFICO - FANO 'TORELLI'POLO S.2,Istituti di Istruzione Statale di Ogni Ordine e Grado,Marche,Pesaro-Urbino,Fano,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/PSPS01000G/7#new_tab
ISTITUTO COMPRENSIVO - ISC MACERATA FELTRIA,Istituti di Istruzione Statale di Ogni Ordine e Grado,Marche,Pesaro-Urbino,Macerata Feltria,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/PSIC81100T/3
Azienda Ospedaliera Ospedali Riuniti Marche Nord,"Aziende Ospedaliere, Aziende Ospedaliere Universitarie, Policlinici e Istituti di Ricovero e Cura a Carattere Scientifico Pubblici",Marche,Pesaro-Urbino,Pesaro,positivo,17/03/2019 02:05:14,x,http://www.ospedalimarchenord.it/3/amministrazione-trasparente.html
ISTITUTO COMPRENSIVO - PESARO 'A.OLIVIERI',Istituti di Istruzione Statale di Ogni Ordine e Grado,Marche,Pesaro-Urbino,Pesaro,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/PSIC82100C/5
ISTITUTO COMPRENSIVO - URBINO 'PASCOLI',Istituti di Istruzione Statale di Ogni Ordine e Grado,Marche,Pesaro-Urbino,Urbino,positivo,17/03/2019 02:05:14,x,http://www.icpascoli.gov.it/trasparenza/amministrazione-trasparente
Centro Provinciale Istruzione Adulti,Istituti di Istruzione Statale di Ogni Ordine e Grado,Molise,Isernia,Isernia,positivo,17/03/2019 02:05:14,x,http://cpiais.serviziperlapa.it/
Comune di Alice Bel Colle,Comuni e loro Consorzi e Associazioni,Piemonte,Alessandria,Alice Bel Colle,positivo,17/03/2019 02:05:14,x,https://comune.alicebelcolle.al.it/pa/amministrazione-trasparente/
ISTITUTO COMPRENSIVO - VIGNALE MONFERRATO 'F.MEZZADRA',Istituti di Istruzione Statale di Ogni Ordine e Grado,Piemonte,Alessandria,Vignale Monferrato,positivo,17/03/2019 02:05:14,x,http://www.icozzanovignale.it/cms/amministrazione-trasparente/
Azienda sanitaria Locale - ASL - Asti,Aziende Sanitarie Locali,Piemonte,Asti,Asti,positivo,17/03/2019 02:05:14,x,http://portale.asl.at.it/Apps/portaleasl.nsf/trasparenza.htm?OpenPage
"Camera di Commercio, Industria, Artigianato e Agricoltura di Asti","Camere di Commercio, Industria, Artigianato e Agricoltura e loro Unioni Regionali",Piemonte,Asti,Asti,positivo,17/03/2019 02:05:14,x,http://www.at.camcom.gov.it/Page/t04/view_html?idp=2788
Comune di Robella,Comuni e loro Consorzi e Associazioni,Piemonte,Asti,Robella,positivo,17/03/2019 02:05:14,x,https://hosting.pa-online.it/robella/
Casa di Riposo Ipab San Giovanni Evangelista,Aziende Pubbliche di Servizi alla Persona,Piemonte,Asti,Villanova d'Asti,positivo,17/03/2019 02:05:14,x,http://www.sangiovannievangelista.com/node/160
Comune di Diano d'Alba,Comuni e loro Consorzi e Associazioni,Piemonte,Cuneo,Diano d'Alba,positivo,17/03/2019 02:05:14,x,https://www.dianoalba.gov.it/ita/trasparenza_amministrativa.asp
Comune di Dogliani,Comuni e loro Consorzi e Associazioni,Piemonte,Cuneo,Dogliani,positivo,17/03/2019 02:05:14,x,https://hosting.pa-online.it/dogliani/amministrazione-trasparente/
Consorzio per I Servizi Socio Assistenziali Delle Valli Grana e Maira,Consorzi tra Amministrazioni Locali,Piemonte,Cuneo,Dronero,positivo,17/03/2019 02:05:14,x,http://www.consorziogranaemaira.it/amministrazione_trasp.php
Comune di Margarita,Comuni e loro Consorzi e Associazioni,Piemonte,Cuneo,Margarita,positivo,17/03/2019 02:05:14,x,https://www.comune.margarita.cn.it/pagina/?ID=173
ISTITUTO COMPRENSIVO - IC RACCONIGI 'B. MUZZONE',Istituti di Istruzione Statale di Ogni Ordine e Grado,Piemonte,Cuneo,Racconigi,positivo,17/03/2019 02:05:14,x,http://www.istitutomuzzone.gov.it/trasparenza/amministrazione-trasparente
Comune di Venasca,Comuni e loro Consorzi e Associazioni,Piemonte,Cuneo,Venasca,positivo,17/03/2019 02:05:14,x,https://www.venasca.gov.it/ita/trasparenza_amministrativa.asp
ISTITUTO COMPRENSIVO - 'P. RAMATI' CERANO,Istituti di Istruzione Statale di Ogni Ordine e Grado,Piemonte,Novara,Cerano,positivo,17/03/2019 02:05:14,x,http://www.ramati.gov.it/amministrazione-trasparente/
"Camera di Commercio, Industria, Artigianato e Agricoltura di Novara","Camere di Commercio, Industria, Artigianato e Agricoltura e loro Unioni Regionali",Piemonte,Novara,Novara,positivo,17/03/2019 02:05:14,x,http://www.no.camcom.gov.it/Page/t04/view_html?idp=1694
ISTITUTO COMPRENSIVO - I.C. - ALMESE,Istituti di Istruzione Statale di Ogni Ordine e Grado,Piemonte,Torino,Almese,positivo,17/03/2019 02:05:14,x,http://hubmiur.pubblica.istruzione.it/web/istruzione/pon/programmazione_2014_2020
Comune di Borgaro Torinese,Comuni e loro Consorzi e Associazioni,Piemonte,Torino,Borgaro Torinese,positivo,17/03/2019 02:05:14,x,http://www.comune.borgaro-torinese.to.it/amministrazione-trasparente/
Comune di Borgone Susa,Comuni e loro Consorzi e Associazioni,Piemonte,Torino,Borgone Susa,positivo,17/03/2019 02:05:14,x,https://www.comune.borgonesusa.to.it/it-it/amministrazione/amministrazione-trasparente
ISTITUTO SECONDARIO DI I GRADO - COLLEGNO DON MINZONI-GRAMSCI,Istituti di Istruzione Statale di Ogni Ordine e Grado,Piemonte,Torino,Collegno,positivo,17/03/2019 02:05:14,x,http://www.scuoladonminzonigramsci.gov.it/amministrazione_trasparente/wordpress/
ISTITUTO COMPRENSIVO - I.C. - MAPPANO,Istituti di Istruzione Statale di Ogni Ordine e Grado,Piemonte,Torino,Mappano,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/TOIC860003/3#new_tab
"Unione Dei Comuni di Moncalieri, Trofarello, La Loggia",Unioni di Comuni e loro Consorzi e Associazioni,Piemonte,Torino,Moncalieri,positivo,17/03/2019 02:05:14,x,https://www.unionemoncalieri.it/amministrazione%20trasparente.htm
Agenzia Territoriale per la Casa del Piemonte Centrale,Aziende e Consorzi Pubblici Territoriali per l'Edilizia Residenziale,Piemonte,Torino,Torino,positivo,17/03/2019 02:05:14,x,http://trasparenza.atc.torino.it/
Autorita' d'ambito Torinese,Enti di Regolazione dei Servizi Idrici e o dei Rifiuti,Piemonte,Torino,Torino,positivo,17/03/2019 02:05:14,x,http://www.ato3torinese.it/amministrazione-trasparente/
ISTITUTO COMPRENSIVO - I.C. - TORINO - SALVEMINI,Istituti di Istruzione Statale di Ogni Ordine e Grado,Piemonte,Torino,Torino,positivo,17/03/2019 02:05:14,x,http://www.icsalvemini.gov.it/trasparenza/amministrazione-trasparente
ISTITUTO SUPERIORE - A.AVOGADRO,Istituti di Istruzione Statale di Ogni Ordine e Grado,Piemonte,Torino,Torino,positivo,17/03/2019 02:05:14,x,http://www.itisavogadro.it/amministrazione-trasparente
Seso S.R.L.,Gestori di Pubblici Servizi,Piemonte,Vercelli,Borgosesia,positivo,17/03/2019 02:05:14,x,https://sesosrl.it/amministrazione-trasparente/
Azienda Pubblica di Servizi alla persona Don Giovanni Silvestri,Gestori di Pubblici Servizi,Puglia,Bari,Castellana Grotte,positivo,17/03/2019 02:05:14,x,https://www.dongiovannisilvestri.accessocivico.it/?q=amministrazione-trasparente 
Comune di Polignano a Mare,Comuni e loro Consorzi e Associazioni,Puglia,Bari,Polignano a Mare,positivo,17/03/2019 02:05:14,x,https://www.comune.polignanoamare.ba.it/web/guest/amministrazione-trasparente-publisys
Comune di Apricena,Comuni e loro Consorzi e Associazioni,Puglia,Foggia,Apricena,positivo,17/03/2019 02:05:14,x,http://www.comune.apricena.fg.it/?q=node/89
Comune di Monte Sant'Angelo,Comuni e loro Consorzi e Associazioni,Puglia,Foggia,Monte Sant'Angelo,positivo,17/03/2019 02:05:14,x,http://trasparenza.montesantangelo.it/
Istituto Comprensivo  Virgilio-Salandra,Istituti di Istruzione Statale di Ogni Ordine e Grado,Puglia,Foggia,Troia,positivo,17/03/2019 02:05:14,x,http://www.virgiliotroia.it/bandi/amministrazione-trasparente/
DIREZIONE DIDATTICA - GIANNI RODARI - VIESTE,Istituti di Istruzione Statale di Ogni Ordine e Grado,Puglia,Foggia,Vieste,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/FGMM13700L/7
"Camera di Commercio, Industria, Artigianato e Agricoltura di Lecce","Camere di Commercio, Industria, Artigianato e Agricoltura e loro Unioni Regionali",Puglia,Lecce,Lecce,positivo,17/03/2019 02:05:14,x,http://www.le.camcom.gov.it/P42A0C0S86/Amministrazione-trasparente.htm
DIREZIONE DIDATTICA - LECCE 2,Istituti di Istruzione Statale di Ogni Ordine e Grado,Puglia,Lecce,Lecce,positivo,17/03/2019 02:05:14,x,https://nuvola.madisoft.it/bacheca-digitale/bacheca/LEEE07100P/3#new_tab
Comune di Melpignano,Comuni e loro Consorzi e Associazioni,Puglia,Lecce,Melpignano,positivo,17/03/2019 02:05:14,x,http://www.comune.melpignano.le.it/amministrazione-trasparente
ISTITUTO COMPRENSIVO - MARCONI,Istituti di Istruzione Statale di Ogni Ordine e Grado,Puglia,Taranto,Palagianello,positivo,17/03/2019 02:05:14,x,http://www.marconipalagianello.gov.it/trasparenza/amministrazione-trasparente
"Camera di Commercio, Industria, Artigianato e Agricoltura di Cagliari","Camere di Commercio, Industria, Artigianato e Agricoltura e loro Unioni Regionali",Sardegna,Cagliari,Cagliari,positivo,17/03/2019 02:05:14,x,http://www.ca.camcom.it/IT/Page/t01/view_html?idp=380
Ordine dei Geologi della Sardegna,"Federazioni Nazionali, Ordini, Collegi e Consigli Professionali",Sardegna,Cagliari,Cagliari,positivo,17/03/2019 02:05:14,x,http://www.geologi.sardegna.it/ordinedeigeologidellasardegna/#
Unione Regionale Delle Camere di Commercio I.A.A. della Sardegna,"Camere di Commercio, Industria, Artigianato e Agricoltura e loro Unioni Regionali",Sardegna,Cagliari,Cagliari,positivo,17/03/2019 02:05:14,x,http://societa-trasparente.unioncameresardegna.it?idcontent=5
ISTITUTO COMPRENSIVO - BITTI,Istituti di Istruzione Statale di Ogni Ordine e Grado,Sardegna,Nuoro,Bitti,positivo,17/03/2019 02:05:14,x,https://www.icsbitti.it/trasparenza/amministrazione-trasparente
Collegio degli Infermieri Professionali Assistenti Sanitari e Vigilatrici d'Infanzia (Ipasvi) della Provincia di Nuoro,"Federazioni Nazionali, Ordini, Collegi e Consigli Professionali",Sardegna,Nuoro,Nuoro,positivo,17/03/2019 02:05:14,x,http://www.fnopi.it/amministrazione-trasparente.htm
Comune di Barisardo,Comuni e loro Consorzi e Associazioni,Sardegna,Ogliastra,Bari Sardo,positivo,17/03/2019 02:05:14,x,http://www.comunedibarisardo.gov.it/index.php?option=com_content&view=categories&id=190&Itemid=213
